uid,title,content,type,audio_file_name,category
78,Song of Farewell,"<p>May the choir of angels,<br/>
Come to greet you.<br/>
May they speed you to paradise.<br/>
May the Lord enfold you<br/>
In His mercy.<br/>
May you find eternal life</p>
<p>The Lord is my light and my help;<br/>
It is He who protects me from harm<br/>
The Lord is the strength of my days;<br/>
Before whom should I tremble with fear?</p>
<p>May the choir of angels,<br/>
Come to greet you.<br/>
May they speed you to paradise.<br/>
May the Lord enfold you<br/>
In His mercy.<br/>
May you find eternal life</p>
<p>There is one thing I ask of the Lord;<br/>
That He grant me my heartfelt desire.<br/>
To dwell in the court of our God<br/>
Everyday of my life in His presence</p>
<p>May the choir of angels,<br/>
Come to greet you.<br/>
May they speed you to paradise.<br/>
May the Lord enfold you<br/>
In His mercy.<br/>
May you find eternal life</p>
<p>O Lord, hear my voice when I cry;<br/>
Have mercy on me and give answer.<br/>
Do not cast me away in Your anger;<br/>
For You are the God of my help</p>
<p>May the choir of angels,<br/>
Come to greet you.<br/>
May they speed you to paradise.<br/>
May the Lord enfold you<br/>
In His mercy.<br/>
May you find eternal life</p>
<p>I am sure I shall see the Lord’s goodness,<br/>
I shall dwell in the land of the living.<br/>
Hope in God, stand firm and take heart,<br/>
Place all your trust in the Lord.</p>
<p>May the choir of angels,<br/>
Come to greet you.<br/>
May they speed you to paradise.<br/>
May the Lord enfold you<br/>
In His mercy.<br/>
May you find eternal life</p>
<p>AMEN</p>",lyric,23 Song Of Farewell,","
79,The Broken Chain,"<p>We little knew the day<br/>
God was going to call your name.<br/>
In life we loved you dearly.<br/>
In death we do the same.<br/>
It broke our hearts to lose you<br/>
but you didn’t go alone.<br/>
For part of us went with you<br/>
the day God called you home.<br/>
We’re left with beautiful memories.<br/>
Your love is still our guide,<br/>
And though we cannot see you<br/>
You are always at our side.<br/>
Our family chain is broken<br/>
and nothing seems the same,<br/>
but as God calls us one by one<br/>
the chain will link again.<br/>
Ron Tranme</p>",reading,,Poems
80,The Dash,"<p>I read of a man who stood to speak<br/>
At the funeral of a friendHe referred to the dates on the tombstone<br/>
From the beginning… to the endHe noted that first came the date of birth<br/>
And spoke the following date with tears,<br/>
But he said what mattered most of all<br/>
Was the dash between those yearsFor that dash represents all the time<br/>
That they spent alive on earth.<br/>
And now only those who loved them<br/>
Know what that little line is worthFor it matters not, how much we own,<br/>
The cars… the house… the cash.<br/>
What matters is how we live and love<br/>
And how we spend our dash.So, think about this long and hard.<br/>
Are there things you’d like to change?<br/>
For you never know how much time is left<br/>
That can still be rearranged.If we could just slow down enough<br/>
To consider what’s true and real<br/>
And always try to understand<br/>
The way other people feel.And be less quick to anger<br/>
And show appreciation more<br/>
And love the people in our lives<br/>
Like we’ve never loved before.If we treat each other with respect<br/>
And more often wear a smile,<br/>
Remembering this special dash<br/>
Might only last a little whileSo, when your eulogy is being read<br/>
With your life’s actions to rehash…<br/>
Would you be proud of the things they say<br/>
About how you spent YOUR dash?</p>",reading,,Poems
81,The Lords prayer,"<p>The Lord&#x27;s Prayer</p>
<p>Our Father, Who art in heaven,<br/>
Hallowed be Thy Name.<br/>
Thy Kingdom come.<br/>
Thy Will be done,<br/>
on earth as it is in Heaven.<br/>
Give us this day our daily bread.<br/>
And forgive us our trespasses,<br/>
as we forgive those who trespass against us.<br/>
And lead us not into temptation,<br/>
but deliver us from evil.<br/>
( For thine is the kingdom, the power and the glory, forever and ever)</p>
<p>AMEN</p>",lyric,,
82,The Lord’s My Shepherd,"<p>I’ll not want,<br/>
He makes me down to lie, in pastures green;<br/>
He leadeth me the quiet waters by.</p>
<p>My soul He doth restore again,<br/>
And me to walk doth make<br/>
Within the paths of righteousness,<br/>
E’en for his own name’s sake.</p>
<p>Yea, though I walk through death’s dark vale,<br/>
Yet will I fear no ill;<br/>
For thou art with me, and thy rod<br/>
And staff me comfort still.</p>
<p>My table thou hast furnished<br/>
In presence of my foes;<br/>
My head thou dost with oil anoint,<br/>
And my cup overflows.</p>
<p>Goodness and mercy all my life<br/>
Shall surely follow me;<br/>
And in God’s house for evermore<br/>
My dwelling-place shall be.</p>",lyric,24 The lord's My Shepherd,","
83,The Old Rugged Cross,"<p>On a hill far away<br/>
stood an old rugged cross,<br/>
the emblem of suff ’ring and shame;<br/>
and I love that old cross<br/>
where the dearest and best<br/>
for a world of lost sinners was slain.</p>
<p>So I’ll cherish the old rugged cross,<br/>
till my trophies at last I lay down;<br/>
I will cling to the old rugged cross,<br/>
and exchange it some day for a crown.<br/>
Oh, that old rugged cross,<br/>
so despised by the world,<br/>
has a wondrous attraction for me;<br/>
for the dear Lamb of God<br/>
left his glory behind<br/>
to bear it to dark Calvary.</p>
<p>So I’ll cherish the old rugged cross,<br/>
till my trophies at last I lay down;<br/>
I will cling to the old rugged cross,<br/>
and exchange it some day for a crown.</p>
<p>In the old rugged cross,<br/>
stained with blood so divine,<br/>
such a wondful beauty I see;<br/>
for ‘twas on that old cross<br/>
Jesus suffered and died<br/>
to pardon and sanctify me.</p>
<p>So I’ll cherish the old rugged cross,<br/>
till my trophies at last I lay down;<br/>
I will cling to the old rugged cross,<br/>
and exchange it some day for a crown.</p>
<p>To the old rugged cross<br/>
I will ever be true,<br/>
its shame and reproach gladly bear.<br/>
Then He’ll call me some day<br/>
to my home far away,<br/>
where his glory forever I’ll share.</p>
<p>So I’ll cherish the old rugged cross,<br/>
till my trophies at last I lay down;<br/>
I will cling to the old rugged cross,<br/>
and exchange it some day for a crown.</p>",lyric,25 The Old Rugged Cross,","
84,The Ship of Life,"<p>Along the shore I spy a ship As she set out to sea;<br/>
She spreads her sails and sniffs the breeze<br/>
And slips away from me.<br/>
I watch her fading image shrink,<br/>
As she moves on and on, Until at last she’s but a speck,<br/>
Then someone says, “She’s gone.”<br/>
Gone where? Gone only form our sight<br/>
And from our farewell cries;<br/>
That ship will somewhere reappear to other eager eyes.<br/>
Beyond the dim horizon’s rim, resound the welcome drums,<br/>
And while we’re crying, There she goes!<br/>
They’re shouting, Here she comes!<br/>
We’re built to cruise for but a while<br/>
Upon the trackless sea<br/>
Until one day we sail away into infinity.<br/>
John T. Bake</p>",reading,,Poems
85,The Wind Beneath My Wings,<p>Lyrics not available.</p>,lyric,26 The Wind Beneath My Wings,","
86,Time to Say Goodbye,"<p>When I am alone I sit and dream<br/>
And when I dream the words are missing<br/>
Yes, I know that in a room so full of light<br/>
That all the light is missing<br/>
But I don&#x27;t see you with me, with me<br/>
Close up the windows, bring the sun to my room<br/>
Through the door you&#x27;ve opened<br/>
Close inside of me the light you see<br/>
That you met in the darkness<br/>
Time to say goodbye<br/>
Horizons are never far<br/>
Would I have to find them alone?<br/>
Without true light of my own with you<br/>
I will go on ships overseas<br/>
That I now know<br/>
No, they don&#x27;t exist anymore<br/>
It&#x27;s time to say goodbye<br/>
When you were so far away<br/>
I sit alone and dreamt of the horizon<br/>
Then I know that you are here with me, with me<br/>
Building bridges over land and sea<br/>
Shine a blinding light for you and me<br/>
To see, for us to be<br/>
Time to say goodbye<br/>
Horizons are never far<br/>
Would I have to find them alone?<br/>
Without true light of my own with you<br/>
I will go on ships overseas<br/>
That I now know<br/>
No, they don&#x27;t exist anymore<br/>
Without true light of my own with you<br/>
I will go, horizons are never far<br/>
Would I have to find them alone?<br/>
Without true light<br/>
INSTRUMENTAL<br/>
I love you.</p>",lyric,27 Time To Say Goodbye,","
87,To Those Whom I Love and Those Who Love Me,"<p>When I am gone, release me, let me go,<br/>
I have so many things to see and do.<br/>
You mustn’t tie yourself to me with tears,<br/>
Be happy that we had so many years.</p>
<p>I gave you my love, you can only guess<br/>
How much you gave to me in happiness.<br/>
I thank you for the love you each have shown,<br/>
But now it’s time I traveled on alone.</p>
<p>So grieve awhile for me, if grieve you must,<br/>
Then let your grief be comforted by trust.<br/>
It’s only for a while that we must part,<br/>
So bless the memories within your heart.</p>
<p>I won’t be far away, for life goes on.<br/>
So if you need me, call and I will come.<br/>
Though you can’t see or touch me, I’ll be near,<br/>
And if you listen with your heart, you’ll hear.</p>
<p>All of my love around you soft and clear.<br/>
And then, when you must come this way alone,<br/>
I’ll greet you with a smile and “Welcome Home.”</p>",reading,,Poems
88,Watch The Sunrise,<p>Lyrics not available.</p>,lyric,11 Watch The Sunrise,","
89,Watch The Sunset,"<p>I Watch The Sunrise</p>
<p>I watch the sunrise lighting the sky,<br/>
Casting its shadows near.<br/>
And on this morning, bright thought it be,<br/>
I feel those shadows near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.</p>
<p>I watch the sunlight shine through the clouds,<br/>
Warming the earth below.<br/>
And at the mid-day, life seems to say:<br/>
I feel your brightness near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.</p>
<p>I watch the sunset fading away,<br/>
Lighting the clouds with sleep.<br/>
And as the evening closes it eyes,<br/>
I feel your presence near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.</p>
<p>I watch the moonlight guarding the night,<br/>
Waiting till morning comes.<br/>
The air is silent, earth is at rest<br/>
Only your peace is near</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.<br/>
But you are always, close to me,<br/>
Following all my ways.</p>",reading,,Hymns
90,We Remember Them,"<p>At the opening of the buds and in the rebirth of spring<br/>
.<br/>
At the blueness of the skies and in the warmth of summer<br/>
.<br/>
At the rustling of the leaves and in the beauty of autumn<br/>
.<br/>
At the beginning of the year and when it ends<br/>
.<br/>
As long as we live, they too will live;<br/>
for they are now a part of us<br/>
as .<br/>
When we are weary and in need of strength<br/>
.<br/>
When we are lost and sick at heart<br/>
.<br/>
When we have joy we crave to share<br/>
.<br/>
When we have decisions that are difficult to make<br/>
.<br/>
When we have achievements that are based on theirs<br/>
.<br/>
As long as we live, they too will live;<br/>
for they are now a part of us<br/>
as .</p>",reading,,Poems
91,What A Wonderful World,<p>Lyrics not available.</p>,lyric,28 What A Wonderful World,","
92,When I Must Leave You,"<p>for a little while,<br/>
Please do not grieve and shed wild tears<br/>
And hug your sorrow to you through the years,<br/>
But start out bravely with a gallant smile;<br/>
And for my sake and in my name<br/>
Live on and do all things the same,<br/>
Feed not your loneliness on empty days,<br/>
But fill each waking hour in useful ways,<br/>
Reach out your hand in comfort and cheer<br/>
And I in turn will comfort you and hold you near;<br/>
And never, never be afraid to die,<br/>
For I am waiting for you in the sky!<br/>
By Helen Steiner Rice</p>",reading,,Poems
93,Wind Beneath My Wings,"<p>The</p>
<p>It must have been cold there in my shadow<br/>
To never have sunlight on your face.<br/>
You were content to let me shine, that&#x27;s your way,<br/>
You always walked a step behind.</p>
<p>So I was the one with all the glory<br/>
While you were the one with all the strength<br/>
A beautiful face without a name for so long<br/>
A beautiful smile to hide the pain.</p>
<p>Did you ever know that you&#x27;re my hero?<br/>
And everything I would like to be.<br/>
I can fly higher than an eagle<br/>
For you are the wind beneath my wings.</p>
<p>It might have appeared to go unnoticed<br/>
But I&#x27;ve got it all here in my heart.<br/>
I want you to know I know the truth, of course I know it.<br/>
I would be nothing without you.</p>
<p>Did you ever know that you&#x27;re my hero?<br/>
And everything I would like to be.<br/>
I can fly higher than an eagle<br/>
For you are the wind beneath my wings.</p>
<p>Did you ever know that you&#x27;re my hero?<br/>
And everything I would like to be.<br/>
I can fly higher than an eagle<br/>
For you are the wind beneath my wings</p>
<p>Fly, fly high against the sky.<br/>
So high, I almost touch the sky.<br/>
Thank you, Thank you,<br/>
Thank god for you,<br/>
Thank God for you the wind beneath my wings.</p>",lyric,,
94,Wisdom 3: 1-9,"<p>Wisdom</p>
<p>3: 1-9</p>
<p>But the souls of the righteous are in the hand of God,and no torment will ever touch them.In the eyes of the foolish they seemed to have died,and their departure was thought to be an affliction,and their going from us to be their destruction;but they are at peace.For though in the sight of men they were punished,their hope is full of immortality.Having been disciplined a little, they will receive great good,because God tested them and found them worthy of himself;like gold in the furnace he tried them,and like a sacrificial burnt offering he accepted them.In the time of their visitation they will shine forth,and will run like sparks through the stubble.They will govern nations and rule over peoples,and the Lord will reign over them for ever.Those who trust in him will understand truth,and the faithful will abide with him in love,because grace and mercy are upon his elect.</p>",reading,,Old Testament
95,Wonderful World,"<p>I see skies of blue<br/>
And clouds of white<br/>
The bright blessed day<br/>
The dark sacred night<br/>
And I think to myself<br/>
What a .</p>
<p>The colors of the rainbow<br/>
So pretty in the sky<br/>
Are also on the faces<br/>
Of people going by<br/>
I see friends shaking hands<br/>
Saying, &quot;How do you do?&quot;<br/>
They&#x27;re really saying<br/>
I love you.</p>
<p>I hear babies cry<br/>
I watch them grow<br/>
They&#x27;ll learn much more<br/>
Than we&#x27;ll ever know<br/>
And I think to myself<br/>
What a<br/>
Yes, I think to myself<br/>
What a .</p>
<p>Yes, I think to myself<br/>
What a .</p>",reading,,New Age
96,You'll Never Walk Alone,"<p>When you walk through a storm<br/>
Hold your head up high<br/>
And don&#x27;t be afraid of the dark.<br/>
At the end of a storm<br/>
There&#x27;s a golden sky<br/>
And the sweet silver song of a lark.</p>
<p>Walk on through the wind<br/>
Walk on through the rain<br/>
For your dreams be tossed and blown<br/>
Walk on, walk on<br/>
With hope in your heart<br/>
And you&#x27;ll never walk alone<br/>
You&#x27;ll never walk alone.</p>
<p>Walk on, walk on<br/>
With hope in your heart<br/>
And you&#x27;ll never walk alone<br/>
You&#x27;ll never walk alone</p>",lyric,29 You'll Never Walk Alone,","
